Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Norway,NOR,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,..,..,..,..,..
Norway,NOR,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,..,..,..,..,..
Norway,NOR,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..
Norway,NOR,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,8.8018,6.4425,6.04416666666667,8.06416666666667,9.41583333333333
Norway,NOR,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,..,..,..,..,..
Norway,NOR,Deposit interest rate (%),FR.INR.DPST,..,..,..,1.31333333333333,0.5975
Norway,NOR,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,..,..,..,..,..
Norway,NOR,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,..,..,..,6,..
Norway,NOR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..
Norway,NOR,Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,..,..,..,..,..
Norway,NOR,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,..,..,..,81.83183,..
Norway,NOR,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..,..,..,30.800630569458,..
Norway,NOR,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..,..,..,22.3949203491211,..
Norway,NOR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,26.650089263916,..
Norway,NOR,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,..,99.7925262451172,99.7002487182617,99.1197662353516,..
Norway,NOR,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,..,99.8616104125977,99.7080688476562,99.3405380249023,..
Norway,NOR,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,99.8262786865234,99.7040786743164,99.2287826538086,..
Norway,NOR,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,..,30.1444492340088,35.0120086669922,40.1969108581543,..
Norway,NOR,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,..,30.862850189209,33.368278503418,35.7933616638184,..
Norway,NOR,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,30.4954605102539,34.2061805725098,38.0225410461426,..
Norway,NOR,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,..,..,100,99.5945434570312,..
Norway,NOR,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..,..,..,..,..
Norway,NOR,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,..,..,..,..,..
Norway,NOR,Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,..,..,..,..,..
Norway,NOR,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.FE,..,..,..,..,..
Norway,NOR,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..,..,..,34.338,32.434
